Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,ticker,Payout_Medio,PL_Medio_Subsetor,preco_teto_graham,margem_seguranca_graham,preco_teto_barsi,margem_seguranca_barsi,preco_alvo_pl_setor,margem_seguranca_pl_setor,score_wsm,score_wsm_penalidade
PN N2,ABC Brasil PN N2,Intermediários Financeiros,Bancos,22.11,2025-10-24,18.01,23.48,7656570,5409360000.0,,2025-06-30,244657000.0,5.59,82.0,,,,,,0.8800000000000001,,,1.7899999999999998,3.96,26.9,,,0.0,0.0,,1.47,,,,62051300000,0,0,6581400000,2032970000,277509000,967809000,388774000,79091000,244100000,,,,,,,,,ABCB4,0.49133,10.2,48.96,121.44,32.5,46.99,40.39,82.68,,
ON,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes,12.11,2025-10-24,10.52,14.29,324841000,190873000000.0,176507000000.0,2025-06-30,15761600000.0,12.94,206.0,929.0,208.0,134.0,4870.0,-2341.0,0.8699999999999999,645.0,859.0,0.71,0.94,5.87,5.15,2.2399999999999998,1.6600000000000001,1.45,1.94,1.6,111.0,3.0,65.0,142158000000,,,92471600000,,,14752300000,,,2717720000,17524600000,40792000000,3157760000,-14366800000,91719700000,20544900000,20090200000,3864470000,ABEV3,1.12082,12.94,11.14,-8.01,17.5,44.51,12.16,0.41,4.83804347826087,3.9673913043478266
ON,ALLOS ON,Exploração de Imóveis,Exploração de Imóveis,24.53,2025-10-24,16.42,25.77,76807700,12367800000.0,9401570000.0,2025-06-30,504191000.0,16.77,92.0,889.0,442.0,47.0,493.0,-147.0,0.53,468.0,676.0,4.1,1.46,26.67,7.459999999999999,4.970000000000001,3.0100000000000002,0.53,0.6,0.55,291.0,,11.0,26434100000,,,13446800000,,,737411000,,,201401000,2966240000,3817030000,0,-2966240000,2800970000,1391690000,697295000,351830000,ALOS3,0.89047,13.35,29.6,20.67,21.67,-11.66,19.49,-20.55,7.68731007087945,-2.1726304809496937
PN N1,ALPARGATAS PN N1,"Tecidos, Vestuário e Calçados",Calçados,10.58,2025-10-24,5.91,10.58,18429900,7226800000.0,7046780000.0,2025-06-30,683062000.0,27.81,175.0,1640.0,166.0,117.0,429.0,745.0,0.1,1005.0,1600.0,0.18,0.38,6.05,4.67,1.01,0.5900000000000001,0.71,0.9099999999999999,0.63,225.0,17.0,70.0,6194670000,,,4133620000,,,259851000,,,87892000,864577000,3031060000,684564000,-180013000,4353860000,440526000,1101360000,179041000,ALPA4,0.27842,15.23,7.19,-32.04,1.83,-82.7,5.79,-45.27,0.4930450981937434,-47.06322892681931
ON NM,ANIMA ON NM,Diversos,Serviços Educacionais,3.33,2025-10-24,1.49,4.44,18309000,1344880000.0,5367730000.0,2025-06-30,403869000.0,9.57,57.0,124.0,35.0,13.0,104.0,-29.0,0.16,353.0,497.0,1.8699999999999999,0.35,5.89,6.1,2.79,0.72,1.08,1.29,0.5900000000000001,222.0,230.0,39.0,10000000000,,,2379050000,,,140564000,,,9539000,1444280000,2358350000,5467130000,4022850000,3879120000,1080490000,1005340000,284927000,ANIM3,0.15223,8.7,6.81,104.5,0.83,-75.08,3.04,-8.71,,
ON NM,ARMAC ON NM,Diversos,Aluguel de carros,3.43,2025-10-24,2.85,7.93,4647930,1188470000.0,3094830000.0,2025-06-30,346494000.0,16.2,96.0,279.0,64.0,26.0,138.0,-65.0,0.62,465.0,726.0,3.9200000000000004,0.21,3.56,3.59,2.29,0.42000000000000004,0.93,1.17,0.6,242.0,205.0,41.0,4585300000,,,1232630000,,,73350000,,,-6493000,623332000,1465550000,2529690000,1906360000,1861860000,426538000,451467000,82075000,ARML3,1.01267,16.81,4.1,19.53,3.5,2.04,3.53,2.92,5.156391169718446,-23.78090317058246
ON NM,ASSAI ON NM,Comércio e Distribuição,Alimentos,8.23,2025-10-24,5.06,11.86,174705000,11138800000.0,23278800000.0,2025-06-30,1353440000.0,12.08,199.0,198.0,15.0,25.0,777.0,-47.0,0.13,317.0,413.0,2.62,0.68,4.14,1.67,0.74,0.12,1.27,1.9100000000000001,1.65,111.0,296.0,172.0,44303000000,,,5599000000,,,922000000,,,219000000,4459000000,15053000000,16599000000,12140000000,76280000000,5634000000,19002000000,1390000000,ASAI3,0.15734,10.93,7.96,-3.28,1.83,-77.76,7.43,-9.72,5.069938423562843,-10.01591829707738
PN,AZUL PN,Transporte,Transporte Aéreo,1.14,2025-10-24,0.55,6.11,53339400,1053850000.0,32901900000.0,2025-06-30,924426000.0,0.06,-4.0,25.0,5.0,4.0,-7.0,-2.0,0.0,459.0,772.0,3.2399999999999998,18.58,-28.17,2.92,2.0300000000000002,8.17,1.58,2.06,-6.590000000000001,34.0,-132.0,78.0,26897000000,,,-26040500000,,,17171700000,,,1468000000,2593070000,7180130000,34441100000,31848100000,21011800000,4259350000,4942340000,164744000,AZUL4,0.0,0.06,,,,,1.11,-2.63,0.0,0.0
ON,AZZAS 2154 ON,Comércio,"Tecidos, Vestuário e Calçados",28.04,2025-10-24,21.50,45.30,67442000,5789980000.0,8000180000.0,2025-06-30,206490000.0,7.29,69.0,617.0,50.0,37.0,223.0,-1860.0,0.21000000000000002,511.0,852.0,4.529999999999999,3.85,40.39,5.470000000000001,0.8099999999999999,0.6900000000000001,0.6,0.71,0.95,161.0,36.0,74.0,15516800000,,,8339550000,,,794689000,,,537654000,823162000,6865970000,3033360000,2210200000,11548400000,938632000,2901380000,352401000,AZZA3,0.15295,10.59,59.15,110.95,9.83,-64.94,40.77,45.4,25.016839082211977,11.055722561342705
ON,B3 ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,12.5,2025-10-24,8.97,14.81,372554000,65831300000.0,65747900000.0,2025-06-30,5266500000.0,13.67,334.0,1036.0,611.0,140.0,648.0,-607.0,0.22000000000000003,974.0,1035.0,0.1,0.91,3.75,9.059999999999999,5.89,4.470000000000001,1.35,1.98,2.44,262.0,74.0,23.0,47031000000,,,19736100000,,,4814670000,,,1325650000,14621500000,16426800000,14538100000,-83344400,10782100000,6353300000,2745800000,1697950000,B3SA3,0.3022,13.67,8.76,-29.92,4.67,-62.64,12.44,-0.48,0.0,-8.68695652173913
