Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,ticker,Payout_Medio,PL_Medio_Subsetor
PN N2,ABC Brasil PN N2,Intermediários Financeiros,Bancos,22.11,2025-10-24,18.01,23.48,7656570,5409360000.0,,2025-06-30,244657000.0,5.59,82.0,,,,,,0.8800000000000001,,,1.7899999999999998,3.96,26.9,,,0.0,0.0,,1.47,,,,62051300000,0,0,6581400000,2032970000,277509000,967809000,388774000,79091000,244100000,,,,,,,,,ABCB4,0.49133,10.2
ON,AMBEV S/A ON,Bebidas,Cervejas e Refrigerantes,12.11,2025-10-24,10.52,14.29,324841000,190873000000.0,176507000000.0,2025-06-30,15761600000.0,12.94,206.0,929.0,208.0,134.0,4870.0,-2341.0,0.8699999999999999,645.0,859.0,0.71,0.94,5.87,5.15,2.2399999999999998,1.6600000000000001,1.45,1.94,1.6,111.0,3.0,65.0,142158000000,,,92471600000,,,14752300000,,,2717720000,17524600000,40792000000,3157760000,-14366800000,91719700000,20544900000,20090200000,3864470000,ABEV3,1.12082,12.94
ON,ALLOS ON,Exploração de Imóveis,Exploração de Imóveis,24.53,2025-10-24,16.42,25.77,76807700,12367800000.0,9401570000.0,2025-06-30,504191000.0,16.77,92.0,889.0,442.0,47.0,493.0,-147.0,0.53,468.0,676.0,4.1,1.46,26.67,7.459999999999999,4.970000000000001,3.0100000000000002,0.53,0.6,0.55,291.0,,11.0,26434100000,,,13446800000,,,737411000,,,201401000,2966240000,3817030000,0,-2966240000,2800970000,1391690000,697295000,351830000,ALOS3,0.89047,13.35
PN N1,ALPARGATAS PN N1,"Tecidos, Vestuário e Calçados",Calçados,10.58,2025-10-24,5.91,10.58,18429900,7226800000.0,7046780000.0,2025-06-30,683062000.0,27.81,175.0,1640.0,166.0,117.0,429.0,745.0,0.1,1005.0,1600.0,0.18,0.38,6.05,4.67,1.01,0.5900000000000001,0.71,0.9099999999999999,0.63,225.0,17.0,70.0,6194670000,,,4133620000,,,259851000,,,87892000,864577000,3031060000,684564000,-180013000,4353860000,440526000,1101360000,179041000,ALPA4,0.27842,15.23
ON NM,ANIMA ON NM,Diversos,Serviços Educacionais,3.33,2025-10-24,1.49,4.44,18309000,1344880000.0,5367730000.0,2025-06-30,403869000.0,9.57,57.0,124.0,35.0,13.0,104.0,-29.0,0.16,353.0,497.0,1.8699999999999999,0.35,5.89,6.1,2.79,0.72,1.08,1.29,0.5900000000000001,222.0,230.0,39.0,10000000000,,,2379050000,,,140564000,,,9539000,1444280000,2358350000,5467130000,4022850000,3879120000,1080490000,1005340000,284927000,ANIM3,0.15223,8.7
ON NM,ARMAC ON NM,Diversos,Aluguel de carros,3.43,2025-10-24,2.85,7.93,4647930,1188470000.0,3094830000.0,2025-06-30,346494000.0,16.2,96.0,279.0,64.0,26.0,138.0,-65.0,0.62,465.0,726.0,3.9200000000000004,0.21,3.56,3.59,2.29,0.42000000000000004,0.93,1.17,0.6,242.0,205.0,41.0,4585300000,,,1232630000,,,73350000,,,-6493000,623332000,1465550000,2529690000,1906360000,1861860000,426538000,451467000,82075000,ARML3,1.01267,16.81
ON NM,ASSAI ON NM,Comércio e Distribuição,Alimentos,8.23,2025-10-24,5.06,11.86,174705000,11138800000.0,23278800000.0,2025-06-30,1353440000.0,12.08,199.0,198.0,15.0,25.0,777.0,-47.0,0.13,317.0,413.0,2.62,0.68,4.14,1.67,0.74,0.12,1.27,1.9100000000000001,1.65,111.0,296.0,172.0,44303000000,,,5599000000,,,922000000,,,219000000,4459000000,15053000000,16599000000,12140000000,76280000000,5634000000,19002000000,1390000000,ASAI3,0.15734,10.93
PN,AZUL PN,Transporte,Transporte Aéreo,1.14,2025-10-24,0.55,6.11,53339400,1053850000.0,32901900000.0,2025-06-30,924426000.0,0.06,-4.0,25.0,5.0,4.0,-7.0,-2.0,0.0,459.0,772.0,3.2399999999999998,18.58,-28.17,2.92,2.0300000000000002,8.17,1.58,2.06,-6.590000000000001,34.0,-132.0,78.0,26897000000,,,-26040500000,,,17171700000,,,1468000000,2593070000,7180130000,34441100000,31848100000,21011800000,4259350000,4942340000,164744000,AZUL4,0.0,0.06
ON,AZZAS 2154 ON,Comércio,"Tecidos, Vestuário e Calçados",28.04,2025-10-24,21.50,45.30,67442000,5789980000.0,8000180000.0,2025-06-30,206490000.0,7.29,69.0,617.0,50.0,37.0,223.0,-1860.0,0.21000000000000002,511.0,852.0,4.529999999999999,3.85,40.39,5.470000000000001,0.8099999999999999,0.6900000000000001,0.6,0.71,0.95,161.0,36.0,74.0,15516800000,,,8339550000,,,794689000,,,537654000,823162000,6865970000,3033360000,2210200000,11548400000,938632000,2901380000,352401000,AZZA3,0.15295,10.59
ON,B3 ON,Serviços Financeiros Diversos,Serviços Financeiros Diversos,12.5,2025-10-24,8.97,14.81,372554000,65831300000.0,65747900000.0,2025-06-30,5266500000.0,13.67,334.0,1036.0,611.0,140.0,648.0,-607.0,0.22000000000000003,974.0,1035.0,0.1,0.91,3.75,9.059999999999999,5.89,4.470000000000001,1.35,1.98,2.44,262.0,74.0,23.0,47031000000,,,19736100000,,,4814670000,,,1325650000,14621500000,16426800000,14538100000,-83344400,10782100000,6353300000,2745800000,1697950000,B3SA3,0.3022,13.67
ON,BANCO DO BRASIL S.A. ON,Intermediários Financeiros,Bancos,20.52,2025-10-24,18.35,29.30,674166000,117597000000.0,,2025-06-30,5730830000.0,4.28,67.0,,,,,,0.8400000000000001,,,0.71,4.79,30.49,,,0.0,0.0,,1.5699999999999998,,,,2400620000000,0,0,174734000000,46534100000,20464700000,27474600000,6359170000,4937150000,3085410000,,,,,,,,,BBAS3,0.35985,10.2
ON NM,BLAU ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,12.7,2025-10-24,11.41,16.63,2419260,2278300000.0,2484240000.0,2025-06-30,179394000.0,8.06,101.0,602.0,129.0,66.0,205.0,559.0,0.27,567.0,657.0,0.74,1.58,12.63,4.0,2.1399999999999997,1.58,1.09,1.3,1.25,317.0,22.0,51.0,3470560000,,,2266030000,,,282667000,,,63350000,297922000,1625860000,503859000,205937000,1767420000,378302000,464826000,102608000,BLAU3,0.21703,23.49
ON NM,BEMOBI TECH ON NM,Programas e Serviços,Programas e Serviços,22.3,2025-10-24,12.38,23.60,7505810,1909070000.0,1435630000.0,2025-06-30,85608400.0,15.16,169.0,1476.0,121.0,118.0,282.0,320.0,0.76,723.0,1110.0,5.11,1.47,13.17,2.41,0.82,0.8099999999999999,0.8,1.29,1.1199999999999999,265.0,2.0,97.0,1620650000,,,1127180000,,,125958000,,,33233000,492436000,1084740000,19002000,-473434000,1577270000,129363000,408524000,36046000,BMOB3,1.15293,31.79
UNT,BTGP BANCO UNT,Intermediários Financeiros,Bancos,47.65,2025-10-24,26.26,48.85,343054000,182756000000.0,,2025-06-30,11506100000.0,13.63,287.0,,,,,,0.22000000000000003,,,1.3900000000000001,3.5,16.61,,,0.0,0.0,,2.1100000000000003,,,,545462000000,98894700000,140127000000,63703300000,9896910000,3094390000,13411500000,2893090000,804014000,4009230000,,,,,,,,,BPAC11,0.29951,10.2
PN,BANCO PAN PN,Intermediários Financeiros,Bancos,10.15,2025-10-24,6.18,10.15,19071300,12881100000.0,,2025-06-30,1269070000.0,16.89,168.0,,,,,,0.24,,,0.21000000000000002,0.6,6.05,,,0.0,0.0,,0.99,,,,67447500000,0,0,7678540000,6576850000,1511890000,762560000,1478410000,371857000,169355000,,,,,,,,,BPAN4,0.406,10.2
ON,BRAVA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",14.46,2025-10-24,14.20,25.58,146094000,6717500000.0,19006300000.0,2025-06-30,464557000.0,4.28,55.0,297.0,66.0,15.0,330.0,-28.0,0.0,470.0,840.0,11.559999999999999,3.38,26.37,2.9,2.23,1.54,0.52,0.61,1.28,137.0,138.0,23.0,43454300000,,,12250500000,,,1569810000,,,1049050000,4591690000,7535740000,16880400000,12288800000,10160100000,2263170000,3142370000,926503000,BRAV3,0.0,5.12
ON NM,BRF Foods ON NM,Alimentos Processados,Carnes e Derivados,17.95,2025-09-22,16.22,25.85,182233000,28579900000.0,34231400000.0,2025-06-30,1592190000.0,7.97,170.0,386.0,45.0,44.0,255.0,-214.0,1.64,313.0,463.0,0.9,2.25,10.58,2.63,1.16,0.61,1.15,2.2,2.13,152.0,123.0,99.0,64292600000,,,16846400000,,,3585590000,,,740621000,15094000000,32864000000,20745500000,5651530000,63948600000,7396920000,15364600000,1696920000,BRFS3,1.30836,7.82
PNB,BANRISUL S/A PNB,Intermediários Financeiros,Bancos,12.74,2025-10-24,9.02,12.74,14273000,5210330000.0,,2025-06-30,408974000.0,4.74,49.0,,,,,,0.97,,,0.45999999999999996,2.69,26.03,,,0.0,0.0,,1.03,,,,155796000000,0,0,10645700000,6108410000,1042290000,1099840000,1554980000,254612000,377561000,,,,,,,,,BRSR6,0.4594,10.2
ON NM,CAMIL ON NM,Alimentos Processados,Alimentos Diversos,5.46,2025-10-24,3.36,7.69,5042190,1911000000.0,5631950000.0,2025-08-31,350000000.0,11.62,56.0,368.0,16.0,17.0,89.0,-124.0,0.54,715.0,1085.0,0.95,0.47,9.8,1.9899999999999998,0.44000000000000006,0.13999999999999999,0.45999999999999996,0.64,0.48,151.0,164.0,104.0,11340200000,,,3429760000,,,164415000,,,78703000,1907190000,6364480000,5628150000,3720950000,11768800000,518897000,2979670000,175835000,CAML3,0.62732,16.16
ON NM,MELIUZ ON NM,Programas e Serviços,Programas e Serviços,4.65,2025-10-24,2.56,10.70,10959200,525370000.0,454045000.0,2025-06-30,112983000.0,10.77,99.0,877.0,134.0,80.0,854.0,1689.0,0.0,600.0,758.0,1.75,0.43,4.68,1.52,1.52,1.22,0.9099999999999999,1.06,0.9199999999999999,169.0,0.0,60.0,655324000,,,528901000,,,48760000,,,7368000,71469000,150681000,144000,-71325000,393184000,59939000,97820000,7366000,CASH3,0.0,31.79
ON NM,CEA MODAS ON NM,Comércio,"Tecidos, Vestuário e Calçados",16.69,2025-10-24,7.42,20.65,62299400,5144610000.0,5408570000.0,2025-06-30,308245000.0,10.25,149.0,506.0,64.0,58.0,375.0,-416.0,0.22999999999999998,396.0,532.0,1.28,1.63,11.21,5.51,1.27,0.63,1.15,1.58,1.45,149.0,37.0,90.0,8869900000,,,3455690000,,,502151000,,,200313000,1003880000,4176960000,1267840000,263959000,8022470000,1017210000,2058460000,278631000,CEAB3,0.2355,10.59
ON N1,CEMIG ON N1,Energia Elétrica,Energia Elétrica,13.92,2025-10-24,13.09,18.31,2752970,39836000000.0,52121100000.0,2025-06-30,2861780000.0,6.13,140.0,592.0,95.0,63.0,-65426.0,-187.0,0.6,638.0,775.0,0.9400000000000001,2.27,9.95,1.8199999999999998,1.6,1.55,1.06,1.17,2.2800000000000002,100.0,54.0,66.0,63411200000,,,28473200000,,,6502650000,,,1187630000,2978860000,13612200000,15263900000,12285100000,41956300000,6726120000,10786300000,1969430000,CMIG3,0.36793,13.4
PN N1,CEMIG PN N1,Energia Elétrica,Energia Elétrica,10.71,2025-10-24,9.10,11.27,99049900,30649700000.0,42934800000.0,2025-06-30,2861780000.0,4.71,108.0,456.0,73.0,48.0,-50339.0,-144.0,0.77,526.0,638.0,0.9400000000000001,2.27,9.95,1.8199999999999998,1.6,1.55,1.06,1.17,2.2800000000000002,100.0,54.0,66.0,63411200000,,,28473200000,,,6502650000,,,1187630000,2978860000,13612200000,15263900000,12285100000,41956300000,6726120000,10786300000,1969430000,CMIG4,0.36329,13.4
ON,COGNA ON,Diversos,Serviços Educacionais,3.48,2025-10-24,0.96,3.48,82396300,6530590000.0,11969900000.0,2025-06-30,1876610000.0,5.88,52.0,297.0,97.0,28.0,441.0,-115.0,0.19,413.0,544.0,1.0699999999999998,0.59,6.7,6.82,3.2700000000000005,1.81,0.93,1.02,0.8800000000000001,153.0,51.0,28.0,23649400000,,,12565400000,,,1110620000,,,118799000,944287000,4264420000,6383630000,5439350000,6734400000,2201630000,1664600000,475701000,COGN3,0.11207,8.7
ON,CPFL ENERGIA S.A. ON,Energia Elétrica,Energia Elétrica,40.8,2025-10-24,28.79,41.23,49917900,47012000000.0,71733100000.0,2025-06-30,1152250000.0,8.69,219.0,417.0,107.0,59.0,-2074.0,-116.0,0.6799999999999999,539.0,636.0,0.51,4.69,18.64,3.15,2.56,1.3,1.42,1.58,2.52,88.0,135.0,56.0,79238200000,,,21481800000,,,5406970000,,,1124320000,4210650000,16105800000,28931800000,24721100000,44004800000,11271400000,10549100000,2574690000,CPFE3,0.59156,13.4
ON,COPEL ON,Energia Elétrica,Energia Elétrica,12.84,2025-10-24,7.62,12.84,55503300,38299300000.0,55281400000.0,2025-06-30,2982810000.0,12.58,150.0,900.0,160.0,63.0,2670.0,-166.0,0.45999999999999996,967.0,1299.0,0.21000000000000002,1.02,8.58,2.18,1.78,1.27,0.7,0.77,1.19,113.0,78.0,39.0,60742000000,,,25596100000,,,3043810000,,,572140000,2905740000,12093900000,19887900000,16982100000,23872000000,4257300000,6225150000,1046630000,CPLE3,0.57906,13.4
PNB,COPEL PNB,Energia Elétrica,Energia Elétrica,13.64,2025-10-24,8.43,13.64,134214000,40685500000.0,57667700000.0,2025-06-30,2982810000.0,13.37,159.0,956.0,170.0,67.0,2836.0,-176.0,0.47000000000000003,1008.0,1355.0,0.21000000000000002,1.02,8.58,2.18,1.78,1.27,0.7,0.77,1.19,113.0,78.0,39.0,60742000000,,,25596100000,,,3043810000,,,572140000,2905740000,12093900000,19887900000,16982100000,23872000000,4257300000,6225150000,1046630000,CPLE6,0.62851,13.4
ON NM,CRUZEIRO EDU ON NM,Diversos,Serviços Educacionais,5.72,2025-10-24,2.59,5.75,2146570,2085180000.0,2711540000.0,2025-06-30,364543000.0,10.36,135.0,409.0,78.0,45.0,766.0,-98.0,0.37,352.0,531.0,1.09,0.55,4.23,4.9799999999999995,1.9,0.75,1.1,1.3,1.31,138.0,83.0,58.0,4659040000,,,1542860000,,,201363000,,,62663000,655979000,994728000,1282340000,626359000,2680520000,510396000,721094000,127440000,CSED3,0.3848,8.7
ON,COPASA MG ON,Água e Saneamento,Água e Saneamento,37.53,2025-10-24,19.00,37.53,89729100,14270900000.0,20057800000.0,2025-06-30,380253000.0,10.51,169.0,652.0,176.0,86.0,1460.0,-261.0,0.47000000000000003,656.0,917.0,1.02,3.57,22.15,4.26,2.7,1.6800000000000002,1.3199999999999998,1.44,1.61,157.0,81.0,49.0,16581900000,,,8421330000,,,1358150000,,,289441000,1032960000,2683800000,6819840000,5786880000,8093780000,2188010000,1979820000,496891000,CSMG3,0.49409,10.2
ON NM,CURY S/A ON NM,Construção Civil,Incorporações,33.6,2025-10-24,16.19,33.96,69437800,9807000000.0,9579240000.0,2025-06-30,291875000.0,12.47,737.0,863.0,211.0,189.0,623.0,-1635.0,0.45999999999999996,818.0,843.0,3.29,2.69,4.56,3.91,2.44,1.8699999999999999,2.19,3.38,5.91,210.0,98.0,90.0,5183960000,,,1329970000,,,786561000,,,236731000,1530880000,3005750000,1303110000,-227763000,4653630000,1136960000,1346600000,343627000,CURY3,0.57457,9.18
PN,CYRELA BRAZIL REALTY PN,Construção Civil,Incorporações,30.13,2025-10-24,15.59,30.74,145201000,11569900000.0,15192500000.0,2025-06-30,384000000.0,6.87,118.0,763.0,135.0,49.0,125.0,1682.0,0.35,941.0,1001.0,1.7600000000000002,4.39,25.48,3.2600000000000002,1.77,1.64,0.65,0.76,1.72,336.0,70.0,37.0,23414800000,,,9786080000,,,1685170000,,,387807000,3267090000,13227800000,6889690000,3622590000,8595790000,1517180000,2107130000,337235000,CYRE3,0.24022,9.18
ON NM,DESKTOPSIGMA ON NM,Telecomunicações,Telecomunicações,15.2,2025-10-24,7.72,15.90,8002260,1761790000.0,2882950000.0,2025-06-30,115907000.0,21.95,127.0,534.0,150.0,44.0,382.0,-108.0,0.02,507.0,873.0,2.88,0.69,11.96,6.17,2.82,0.75,0.8300000000000001,1.02,0.58,193.0,129.0,29.0,3994970000,,,1386660000,,,80267000,,,15414000,666010000,953692000,1787170000,1121160000,1172540000,330185000,297407000,80945000,DESK3,0.04406,18.93
ON NM,Direcional Engenharia ON NM,Construção Civil,Incorporações,16.15,2025-10-24,7.67,16.17,67426500,8406070000.0,8397100000.0,2025-06-30,520500000.0,12.18,381.0,968.0,222.0,73.0,243.0,-219.0,0.67,892.0,967.0,2.2,1.33,4.23,3.78,2.29,2.1100000000000003,0.75,0.9400000000000001,3.13,293.0,96.0,33.0,11566900000,,,2203630000,,,690183000,,,183742000,2124580000,5250820000,2115600000,-8977150,3794150000,868786000,1065210000,256734000,DIRR3,0.81357,9.18
ON,DEXCO ON,Madeira e Papel,Madeira,5.25,2025-10-24,4.97,8.51,13469300,4307970000.0,9458610000.0,2025-06-30,820566000.0,22.38,63.0,815.0,52.0,24.0,481.0,-71.0,0.1,525.0,1790.0,0.1,0.23,8.3,2.5300000000000002,0.63,0.25,0.29,0.35,0.27999999999999997,122.0,97.0,46.0,17988500000,,,6806910000,,,192518000,,,31717000,1461500000,4911420000,6612140000,5150640000,8327470000,528525000,2121660000,93508000,DXCO3,0.22826,22.38
ON NM,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias,7.93,2025-10-24,3.85,8.39,31527200,5521930000.0,25452800000.0,2025-06-30,696334000.0,7.31,146.0,147.0,53.0,17.0,-341.0,-23.0,0.39,516.0,676.0,2.82,1.08,5.43,3.94,3.59,0.71,1.15,1.28,2.0,72.0,606.0,32.0,32690900000,,,3777960000,,,755265000,,,203943000,2981530000,4228480000,22912400000,19930900000,10476300000,3765430000,2718140000,1001090000,ECOR3,0.28636,13.74
ON,ELETROBRÁS ON,Energia Elétrica,Energia Elétrica,54.15,2025-10-24,31.24,54.93,399944000,125012000000.0,165465000000.0,2025-06-30,2308630000.0,18.85,105.0,835.0,286.0,45.0,539.0,-118.0,0.65,860.0,1105.0,0.89,2.87,51.42,4.5200000000000005,3.4299999999999997,1.52,0.54,0.62,0.5599999999999999,186.0,59.0,16.0,274960000000,,,118707000000,,,6631620000,,,-1325110000,29837100000,49985200000,70289900000,40452700000,43681100000,14969700000,10199000000,3629960000,ELET3,1.22639,13.4
PNB,ELETROBRÁS PNB,Energia Elétrica,Energia Elétrica,57.37,2025-10-24,35.41,57.83,70982500,132446000000.0,172899000000.0,2025-06-30,2308630000.0,19.97,112.0,885.0,303.0,48.0,572.0,-125.0,0.67,899.0,1155.0,0.89,2.87,51.42,4.5200000000000005,3.4299999999999997,1.52,0.54,0.62,0.5599999999999999,186.0,59.0,16.0,274960000000,,,118707000000,,,6631620000,,,-1325110000,29837100000,49985200000,70289900000,40452700000,43681100000,14969700000,10199000000,3629960000,ELET6,1.3393,13.4
ON,EMBRAER ON,Material de Transporte,Material Aeronáutico e de Defesa,86.38,2025-10-24,48.42,86.38,385544000,63961400000.0,69133100000.0,2025-06-30,740465000.0,29.91,352.0,1450.0,161.0,97.0,729.0,-602.0,0.01,1181.0,1567.0,1.3,2.89,24.57,1.86,1.1099999999999999,0.53,0.67,0.8400000000000001,1.1800000000000002,133.0,66.0,60.0,65886600000,,,18191200000,,,2138160000,,,448777000,6862620000,35566800000,12034300000,5171720000,39804500000,4412470000,10270400000,1196360000,EMBR3,0.02989,29.91
UNT N2,ENERGISA UNT N2,Energia Elétrica,Energia Elétrica,51.98,2025-10-24,33.28,51.98,122137000,23800900000.0,52897500000.0,2025-06-30,2289420000.0,6.97,131.0,361.0,68.0,30.0,712.0,-62.0,0.5599999999999999,617.0,803.0,1.02,7.46,39.81,2.5100000000000002,1.8800000000000001,1.24,0.8300000000000001,0.97,1.8699999999999999,123.0,207.0,44.0,79416800000,,,18226900000,,,3414850000,,,257292000,8717610000,17857200000,37814300000,29096700000,35112200000,6586860000,8563870000,1715970000,ENGI11,0.3902,13.4
ON NM,EQUATORIAL ENERGIA S.A. ON NM,Energia Elétrica,Energia Elétrica,37.1,2025-10-24,25.68,37.33,273516000,46579200000.0,92283000000.0,2025-06-30,1255510000.0,12.75,166.0,447.0,94.0,40.0,949.0,-78.0,0.21000000000000002,713.0,886.0,2.63,2.91,22.3,2.75,2.1100000000000003,0.9099999999999999,0.89,1.02,1.31,124.0,197.0,42.0,116701000000,,,27995100000,,,3653520000,,,1073600000,9408180000,25128800000,55112000000,45703800000,49485800000,10420800000,12795300000,2871800000,EQTL3,0.26773,13.4
ON NM,EZTec ON NM,Construção Civil,Incorporações,16.83,2025-10-24,10.20,17.54,19814700,3719250000.0,4057190000.0,2025-06-30,220989000.0,7.54,74.0,1045.0,223.0,53.0,133.0,308.0,0.82,1095.0,1140.0,1.28,2.23,22.7,3.78,2.1399999999999997,3.13,0.51,0.61,0.9800000000000001,937.0,31.0,24.0,7031120000,,,5016000000,,,493241000,,,139907000,1193770000,3134470000,1531710000,337944000,1665930000,355835000,449254000,100375000,EZTC3,0.61886,9.18
PN,FERBASA PN,Siderurgia e Metalurgia,Siderurgia,6.79,2025-10-24,6.01,8.11,3317320,2398060000.0,1723890000.0,2025-06-30,353175000.0,8.8,71.0,1364.0,100.0,56.0,188.0,269.0,0.74,380.0,981.0,0.13999999999999999,0.77,9.54,1.7399999999999998,0.73,1.1400000000000001,0.41,0.55,0.8099999999999999,346.0,9.0,56.0,4276430000,,,3369260000,,,272489000,,,18616000,971918000,1797890000,297751000,-674167000,2394480000,175754000,639441000,34225000,FESA4,0.65255,8.8
ON NM,UNIFIQUE ON NM,Telecomunicações,Telecomunicações,4.61,2025-10-24,3.15,4.64,1445990,1669050000.0,1904460000.0,2025-06-30,362050000.0,9.37,132.0,629.0,155.0,72.0,843.0,-345.0,0.58,372.0,718.0,2.32,0.49,3.5,5.09,2.46,1.65,1.15,1.3699999999999999,1.41,156.0,44.0,47.0,2304200000,,,1265580000,,,178136000,,,45168000,317212000,554638000,552619000,235407000,1076870000,265358000,286142000,73438000,FIQE3,0.54567,18.93
ON NM,FLEURY ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,14.45,2025-10-24,10.45,16.26,57499400,7906910000.0,11186500000.0,2025-06-30,547191000.0,13.04,147.0,671.0,101.0,60.0,301.0,-245.0,0.6900000000000001,556.0,949.0,2.34,1.11,9.83,2.69,1.5,0.74,0.9,1.1400000000000001,1.1300000000000001,251.0,100.0,60.0,13072400000,,,5379100000,,,606212000,,,152299000,2084610000,4368090000,5364210000,3279600000,7841620000,1178380000,2024530000,307605000,FLRY3,0.89824,21.92
ON,FRAS-LE S.A. ON,Material de Transporte,Material Rodoviário,23.0,2025-10-24,19.57,29.24,8314930,6447710000.0,8377630000.0,2025-06-30,280335000.0,19.17,295.0,921.0,133.0,97.0,367.0,-517.0,0.26,908.0,1197.0,1.85,1.2,7.79,3.34,1.45,0.71,1.05,1.33,1.54,224.0,123.0,73.0,6637150000,,,2183560000,,,336269000,,,48317000,750162000,3172890000,2680090000,1929930000,4836110000,700004000,1360140000,179296000,FRAS3,0.49833,10.62
ON NM,GPS ON NM,Serviços Diversos,Serviços Diversos,18.82,2025-10-24,12.43,19.34,39215300,12746400000.0,15000900000.0,2025-06-30,677281000.0,19.62,341.0,980.0,77.0,90.0,304.0,-408.0,0.16999999999999998,862.0,1154.0,2.73,0.96,5.52,1.45,0.78,0.4,0.9099999999999999,1.17,1.7399999999999998,233.0,133.0,117.0,14217100000,,,3737480000,,,649641000,,,121699000,2699320000,7341600000,4953750000,2254430000,16611900000,1300100000,4298370000,348033000,GGPS3,0.33327,21.45
ON NM,GRUPO MATEUS ON NM,Comércio e Distribuição,Alimentos,6.31,2025-10-24,5.75,8.15,28702700,14187800000.0,15275600000.0,2025-06-30,2248470000.0,10.03,139.0,602.0,42.0,70.0,210.0,805.0,0.38,557.0,648.0,2.46,0.63,4.54,2.29,0.6900000000000001,0.42000000000000004,1.16,1.47,1.3800000000000001,234.0,21.0,168.0,20393500000,,,10217400000,,,1414300000,,,343597000,1027780000,11817600000,2115520000,1087740000,34175000000,2356080000,8779640000,594546000,GMAT3,0.3806,10.93
ON,GRENDENE SA ON,"Tecidos, Vestuário e Calçados",Calçados,5.25,2025-10-24,4.52,5.50,17206300,4736340000.0,3412920000.0,2025-06-30,902160000.0,5.84,118.0,1037.0,174.0,106.0,190.0,191.0,1.1099999999999999,640.0,747.0,0.29,0.9,4.46,4.74,1.67,2.9699999999999998,1.03,1.54,2.02,697.0,2.0,61.0,4456300000,,,4019470000,,,810837000,,,143575000,1409820000,2912340000,86407000,-1323420000,2728010000,456788000,555276000,4320010,GRND3,0.6475,15.23
ON,GUARARAPES CONFECÇÕES ON,Comércio,"Tecidos, Vestuário e Calçados",9.91,2025-10-24,5.59,10.20,10514700,4947070000.0,5719650000.0,2025-06-30,499200000.0,12.02,90.0,521.0,49.0,37.0,180.0,1167.0,0.12,346.0,603.0,1.0,0.82,11.07,5.99,0.93,0.4,0.7,0.85,0.74,148.0,36.0,75.0,13546400000,,,5527430000,,,411676000,,,143210000,1200090000,8442820000,1972670000,772574000,10166300000,949114000,2635360000,274499000,GUAR3,0.14502,10.59
ON,Helbor ON,Construção Civil,Incorporações,3.57,2025-10-24,1.25,3.79,6489040,477848000.0,2007810000.0,2025-06-30,133851000.0,9.51,33.0,246.0,39.0,7.0,26.0,-103.0,0.27999999999999997,934.0,1032.0,0.77,0.38,10.92,3.3600000000000003,1.5699999999999998,1.25,0.3,0.32,0.33999999999999997,231.0,119.0,19.0,6462800000,,,1461370000,,,50236000,,,1645000,210416000,3179780000,1740380000,1529960000,1237270000,194476000,285556000,32202000,HBOR3,0.26305,9.18
ON NM,HBR REALTY ON NM,Exploração de Imóveis,Exploração de Imóveis,4.42,2025-10-24,2.61,5.09,2306070,456095000.0,1911200000.0,2025-06-30,103189000.0,20.87,23.0,157.0,234.0,9.0,174.0,-26.0,0.0,644.0,657.0,2.3899999999999997,0.21,19.45,6.85,14.9,5.46,0.5599999999999999,0.58,0.11000000000000001,187.0,82.0,4.0,5204730000,,,2006510000,,,21857000,,,-33058000,190278000,563356000,1645380000,1455100000,195127000,290804000,63997000,21706000,HBRE3,0.0,13.35
ON,HYPERA ON,Comércio e Distribuição,Medicamentos e Outros Produtos,23.67,2025-10-24,16.02,27.85,54591500,14993100000.0,22633400000.0,2025-06-30,633421000.0,20.19,125.0,1599.0,225.0,62.0,1277.0,-226.0,0.49000000000000005,1827.0,2414.0,0.8300000000000001,1.17,18.93,5.61,1.41,1.1,0.39,0.41,0.62,126.0,74.0,27.0,24237600000,,,11991900000,,,742678000,,,426689000,1203610000,5611930000,8843920000,7640310000,6661740000,937598000,2153940000,631251000,HYPE3,0.99131,23.49
