Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Cart_de_Credito,Depositos,Patrim_Liq,Result_Int_Financ_12m,Rec_Servicos_12m,Lucro_Liquido_12m,Result_Int_Financ_3m,Rec_Servicos_3m,Lucro_Liquido_3m,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Receita_Liquida_12m,EBIT_12m,Receita_Liquida_3m,EBIT_3m,ticker,Payout_Medio,PL_Medio_Subsetor
ON,PETRORIO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",37.05,2025-10-24,32.89,44.03,275001000,33209600000.0,51485400000.0,2025-06-30,896346000.0,3.14,127.0,779.0,232.0,60.0,1050.0,-164.0,0.0,622.0,1207.0,4.87,11.81,29.21,3.47,2.98,7.390000000000001,0.77,0.86,4.04,154.0,88.0,26.0,55437700000,,,26180900000,,,10589400000,,,680674000,4759560000,9062140000,23035300000,18275800000,14334000000,4265840000,3327790000,349102000,PRIO3,0.0,5.12
ON NM,PRINER ON NM,Serviços Diversos,Serviços Diversos,15.33,2025-10-24,12.80,17.84,6937990,869533000.0,1231770000.0,2025-06-30,56721000.0,79.15,256.0,773.0,62.0,61.0,209.0,-330.0,0.03,699.0,1095.0,4.29,0.19,6.0,2.2,0.8,0.22999999999999998,0.79,1.1,0.32,206.0,215.0,99.0,1429340000,,,340311000,,,10986000,,,-2092000,367896000,806837000,730136000,362240000,1409630000,112454000,361894000,21538000,PRNR3,0.24205,21.45
ON,PORTO SEGURO SA ON,Previdência e Seguros,Seguradoras,47.08,2025-10-24,33.38,56.14,115488000,30441300000.0,20487500000.0,2025-06-30,646586000.0,9.76,210.0,100.0,82.0,60.0,950.0,-365.0,0.4,66.0,67.0,1.78,4.83,22.4,10.0,8.17,0.85,5.99,7.44,2.15,113.0,,73.0,50945000000,,,14482200000,,,3120170000,,,878054000,9953740000,28063300000,0,-9953740000,37343700000,30516200000,10047800000,8256430000,PSSA3,0.3899,9.38
ON,RAIADROGASIL ON,Comércio e Distribuição,Medicamentos e Outros Produtos,19.58,2025-10-24,13.31,25.59,182114000,33638600000.0,36729700000.0,2025-06-30,1718010000.0,27.5,504.0,1425.0,82.0,146.0,890.0,-1089.0,0.18,864.0,1555.0,1.6800000000000002,0.71,3.88,2.94,0.58,0.3,1.02,1.41,1.83,140.0,55.0,178.0,23052500000,,,6671830000,,,1223390000,,,374004000,605299000,13277600000,3696400000,3091110000,40965900000,2361330000,10831000000,719385000,RADL3,0.49639,23.49
ON NM,RUMO S.A. ON NM,Transporte,Transporte Ferroviário,15.38,2025-10-24,14.11,19.91,229072000,28588800000.0,43729300000.0,2025-06-30,1858830000.0,44.32,213.0,503.0,206.0,57.0,843.0,-102.0,0.53,475.0,769.0,1.75,0.35,7.21,4.62,4.09,0.48,1.1199999999999999,1.3,0.48,162.0,158.0,27.0,50595300000,,,13404700000,,,645049000,,,328816000,6091530000,8862410000,21232100000,15140500000,13893800000,5685900000,3711390000,1643230000,RAIL3,2.32897,44.32
ON,IRANI ON,Madeira e Papel,Papel e Celulose,8.48,2025-10-24,5.89,8.91,5792880,1954650000.0,3109630000.0,2025-06-30,230501000.0,5.05,137.0,441.0,116.0,52.0,233.0,-177.0,0.9,480.0,702.0,0.44000000000000006,1.68,6.17,4.16,2.63,2.29,1.1800000000000002,1.48,2.7199999999999998,308.0,125.0,45.0,3768110000,,,1422130000,,,386757000,,,104247000,627105000,1243760000,1782090000,1154980000,1687260000,443057000,413774000,155935000,RANI3,0.45429,9.83
PN N1,RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES PN N1,Material de Transporte,Material Rodoviário,5.98,2025-10-24,5.24,10.89,19812800,2091360000.0,9331030000.0,2025-06-30,349725000.0,10.61,68.0,164.0,16.0,12.0,45.0,-52.0,0.4,549.0,732.0,1.28,0.56,8.74,2.58,0.99,0.33999999999999997,0.73,0.8800000000000001,0.64,204.0,293.0,74.0,17465400000,,,3056780000,,,197091000,,,-34929000,1725990000,9104660000,8965670000,7239680000,12883100000,1275450000,3298380000,242585000,RAPT4,0.42714,10.62
ON NM,REDE D OR ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,42.26,2025-10-24,24.78,42.30,173213000,96745500000.0,94184700000.0,2025-06-30,2289290000.0,23.52,381.0,1152.0,183.0,92.0,269.0,-421.0,0.19,927.0,1122.0,3.45,1.8,11.08,1.98,1.59,0.8,0.79,1.3199999999999998,1.6199999999999999,289.0,150.0,50.0,105710000000,,,25362500000,,,4112780000,,,1001590000,40546500000,54856900000,37985700000,-2560790000,52806000000,8394630000,13960800000,2377790000,RDOR3,0.44608,21.92
ON NM,PETRORECONCA ON NM,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",12.48,2025-10-24,11.81,16.34,27937000,3662530000.0,4835380000.0,2025-06-30,293472000.0,5.58,83.0,393.0,109.0,51.0,587.0,-225.0,1.7600000000000002,293.0,519.0,1.81,2.24,15.12,3.4899999999999998,2.77,1.95,1.29,1.5,1.48,222.0,41.0,47.0,7201850000,,,4438630000,,,656952000,,,238139000,651548000,1135280000,1824400000,1172850000,3360620000,930918000,806302000,186737000,RECV3,0.98057,5.12
ON,LOCALIZA RENT A CAR ON,Diversos,Aluguel de carros,38.75,2025-10-24,26.71,44.03,283721000,41951600000.0,75271800000.0,2025-06-30,1082620000.0,18.04,165.0,515.0,106.0,52.0,969.0,-109.0,0.49000000000000005,567.0,924.0,4.279999999999999,2.15,23.54,2.85,2.06,0.5900000000000001,1.0,1.23,0.9099999999999999,133.0,163.0,49.0,81318700000,,,25487200000,,,2325430000,,,-167098000,8249250000,17427500000,41569500000,33320300000,39575500000,8150560000,9900110000,2020420000,RENT3,0.88314,16.81
